arm,step,critic/score/mean,critic/score/max,val/test_score/game24,response_length/mean,actor/kl_loss,actor/entropy_loss
"shaped [shaped, n4]",5,0.568,1.0,,200.172,0.001,0.018
"shaped [shaped, n4]",6,0.537,1.0,,193.562,0.002,0.017
"shaped [shaped, n4]",7,0.569,1.0,,188.672,0.001,0.019
"shaped [shaped, n4]",8,0.669,1.0,,189.797,0.001,0.014
"shaped [shaped, n4]",9,0.586,1.0,,189.766,0.01,0.018
"shaped [shaped, n4]",10,0.581,1.0,,200.25,0.008,0.014
"shaped [shaped, n4]",11,0.556,1.0,,198.688,0.004,0.016
"shaped [shaped, n4]",12,0.597,1.0,,200.125,0.004,0.014
"shaped [shaped, n4]",13,0.573,1.0,,187.219,0.008,0.015
"shaped [shaped, n4]",14,0.51,1.0,,202.25,0.006,0.017
"shaped [shaped, n4]",15,0.57,1.0,,201.391,0.011,0.018
"shaped [shaped, n4]",16,0.554,1.0,,190.859,0.006,0.016
"shaped [shaped, n4]",17,0.601,1.0,,200.188,0.007,0.014
"shaped [shaped, n4]",18,0.567,1.0,,199.625,0.006,0.014
"shaped [shaped, n4]",19,0.618,1.0,,189.953,0.006,0.013
"shaped [shaped, n4]",20,0.565,1.0,0.53,189.547,0.03,0.014
"shaped [shaped, n4]",21,0.578,1.0,,194.766,0.037,0.015
"shaped [shaped, n4]",22,0.619,1.0,,197.016,0.005,0.014
"shaped [shaped, n4]",23,0.618,1.0,,194.984,0.01,0.015
"shaped [shaped, n4]",24,0.635,1.0,,198.125,0.023,0.013
"shaped [shaped, n4]",25,0.622,1.0,,199.625,0.053,0.018
"shaped [shaped, n4]",26,0.635,1.0,,187.578,0.044,0.013
"shaped [shaped, n4]",27,0.561,1.0,,193.391,0.041,0.016
"shaped [shaped, n4]",28,0.539,1.0,,196.781,0.104,0.015
"shaped [shaped, n4]",29,0.658,1.0,,188.484,0.136,0.013
"shaped [shaped, n4]",30,0.588,1.0,,202.703,0.096,0.014
"shaped [shaped, n4]",31,0.553,1.0,,195.094,0.076,0.015
"shaped [shaped, n4]",32,0.599,1.0,,197.516,0.066,0.013
"shaped [shaped, n4]",33,0.514,1.0,,201.312,0.054,0.013
"shaped [shaped, n4]",34,0.542,1.0,,201.875,0.08,0.016
"shaped [shaped, n4]",35,0.592,1.0,,198.609,0.027,0.011
"shaped [shaped, n4]",36,0.596,1.0,,200.875,0.039,0.013
"shaped [shaped, n4]",37,0.563,1.0,,198.281,0.057,0.013
"shaped [shaped, n4]",38,0.652,1.0,,185.906,0.05,0.011
"shaped [shaped, n4]",39,0.615,1.0,,190.156,0.037,0.01
"shaped [shaped, n4]",40,0.523,1.0,0.517,199.875,0.065,0.015
"shaped [shaped, n4]",41,0.693,1.0,,184.0,0.011,0.011
"shaped [shaped, n4]",42,0.551,1.0,,202.219,0.017,0.014
"shaped [shaped, n4]",43,0.509,1.0,,202.344,0.159,0.012
"shaped [shaped, n4]",44,0.598,1.0,,197.062,0.042,0.01
"shaped [shaped, n4]",45,0.594,1.0,,192.688,0.042,0.01
"shaped [shaped, n4]",46,0.583,1.0,,192.109,0.023,0.009
"shaped [shaped, n4]",47,0.626,1.0,,188.219,0.063,0.013
